task,method,experiment,split,accuracy,avg_latency,avg_generated_tokens,avg_tokens_per_second,avg_peak_memory_mb,num_examples,source_path
boolq,attnres,attnres_boolq,validation,0.7489296636085627,1.1478772364625143,117.47125382262998,111.06677608430313,16027.795920537079,3270,main/attnres_boolq/boolq/validation_summary.json
boolq,base,base_boolq,validation,0.7428134556574923,0.43675980874157827,118.37155963302752,260.6382852392116,15056.017240061163,3270,main/base_boolq/boolq/validation_summary.json
boolq,lora,lora_boolq,validation,0.7688073394495413,0.45621438813865733,117.47125382262998,244.41138495449871,15074.94685588685,3270,main/lora_boolq/boolq/validation_summary.json
gsm8k,attnres,attnres_gsm8k,test,0.1910538286580743,1.2005025145680368,41.34040940106141,35.22226659623834,15280.800385886561,1319,main/attnres_gsm8k/gsm8k/test_summary.json
gsm8k,base,base_gsm8k,test,0.01592115238817286,1.8817048136079917,100.1516300227445,53.07289634624782,14812.820580147722,1319,main/base_gsm8k/gsm8k/test_summary.json
gsm8k,lora,lora_gsm8k,test,0.20621683093252463,0.3326507290716511,41.21834723275209,122.34372894138707,14832.089031922265,1319,main/lora_gsm8k/gsm8k/test_summary.json
rte,attnres,attnres_rte,validation,0.631768953068592,1.7216327517471588,78.63537906137184,45.32501859219784,15555.570356568705,277,main/attnres_rte/rte/validation_summary.json
rte,base,base_rte,validation,0.6353790613718412,0.37273247491581774,78.57761732851985,206.54473991519038,14899.369822808552,277,main/base_rte/rte/validation_summary.json
rte,lora,lora_rte,validation,0.6678700361010831,0.42020409460102176,78.63537906137184,183.1109824405401,14918.778991919562,277,main/lora_rte/rte/validation_summary.json
